TIMESTAMP,FORECAST
20131101 1:00,0.37663260021959116
20131101 2:00,0.38083644915042586
20131101 3:00,0.38230936002657584
20131101 4:00,0.37610060347495744
20131101 5:00,0.38509736771328795
20131101 6:00,0.38480721272078366
20131101 7:00,0.3677695852775128
20131101 8:00,0.1920796504681431
20131101 9:00,0.11270756399676318
20131101 10:00,0.03871063167513891
20131101 11:00,0.037164209968494955
20131101 12:00,0.03997139905248133
20131101 13:00,0.03947727523459376
20131101 14:00,0.03841194991619513
20131101 15:00,0.037164209968494955
20131101 16:00,0.040306912768494955
20131101 17:00,0.04242129059864828
20131101 18:00,0.05225940327854606
20131101 19:00,0.0397825242872343
20131101 20:00,0.037164209968494955
20131101 21:00,0.037164209968494955
20131101 22:00,0.04447478701074367
20131101 23:00,0.08060676837120954
20131102 0:00,0.16436570012248722
20131102 1:00,0.46873568475212946
20131102 2:00,0.5116172523463373
20131102 3:00,0.6046794603279386
20131102 4:00,0.6669699399187393
20131102 5:00,0.7126591619691652
20131102 6:00,0.6485584850746167
20131102 7:00,0.5932570377069847
20131102 8:00,0.5884054224253833
20131102 9:00,0.5881876913676319
20131102 10:00,0.48752546319131185
20131102 11:00,0.4342491090666099
20131102 12:00,0.3634553017100511
20131102 13:00,0.49107178667870527
20131102 14:00,0.6278813872596252
20131102 15:00,0.3541508850040886
20131102 16:00,0.38265785524701873
20131102 17:00,0.516732791714821
20131102 18:00,0.5812229841594548
20131102 19:00,0.4997427427122657
20131102 20:00,0.412923329460477
20131102 21:00,0.485324041923339
20131102 22:00,0.5859275777817716
20131102 23:00,0.5858114759826234
20131103 0:00,0.5712753446264055
20131103 1:00,0.4930694228199319
20131103 2:00,0.48655572338432707
20131103 3:00,0.6440588935943782
20131103 4:00,0.6740946257984668
20131103 5:00,0.6431055184422487
20131103 6:00,0.6423367010940375
20131103 7:00,0.6436289271875639
20131103 8:00,0.642996155392845
20131103 9:00,0.5823953410626916
20131103 10:00,0.48447382993083477
20131103 11:00,0.4127141098611584
20131103 12:00,0.5781703711632027
20131103 13:00,0.605449640120954
20131103 14:00,0.6469737771156728
20131103 15:00,0.6993398323327087
20131103 16:00,0.7509782512642249
20131103 17:00,0.7772916228202725
20131103 18:00,0.7945356500591141
20131103 19:00,0.8080022570064735
20131103 20:00,0.8189875917642248
20131103 21:00,0.8386600175853492
20131103 22:00,0.8678319715100511
20131103 23:00,0.8432950729010221
20131104 0:00,0.7776161910461669
20131104 1:00,0.7288438632417376
20131104 2:00,0.6379735378763203
20131104 3:00,0.5746718756400341
20131104 4:00,0.47888789472691656
20131104 5:00,0.4095094846734242
20131104 6:00,0.4016444228810903
20131104 7:00,0.40823252103373087
20131104 8:00,0.42003546400119246
20131104 9:00,0.2948790491180579
20131104 10:00,0.3676931352383305
20131104 11:00,0.43406698529744464
20131104 12:00,0.4870083002650766
20131104 13:00,0.5203564531279387
20131104 14:00,0.5899683618713799
20131104 15:00,0.5814273969279388
20131104 16:00,0.6262421049337308
20131104 17:00,0.6584720634647359
20131104 18:00,0.6436289271875638
20131104 19:00,0.6280733068608177
20131104 20:00,0.6020772810381602
20131104 21:00,0.6758798428902896
20131104 22:00,0.7605525378308348
20131104 23:00,0.7724617224727428
20131105 0:00,0.662975555520954
20131105 1:00,0.4779379639604771
20131105 2:00,0.3586180686483816
20131105 3:00,0.23199532702419076
