TIMESTAMP,POWER
20131101 1:00,0.19203484728151987
20131101 2:00,0.09278485943797704
20131101 3:00,0.06614850820907503
20131101 4:00,0.06315695261488885
20131101 5:00,0.09373410299175694
20131101 6:00,0.1808806960597542
20131101 7:00,0.33990086914977224
20131101 8:00,0.2513204941795355
20131101 9:00,0.10218155858432815
20131101 10:00,0.024496848993422443
20131101 11:00,0.04374060588712897
20131101 12:00,0.04641574703452364
20131101 13:00,0.03843826530775685
20131101 14:00,0.061009169056651325
20131101 15:00,0.04304065857062128
20131101 16:00,0.024496848993422443
20131101 17:00,0.024496848993422443
20131101 18:00,0.024496848993422443
20131101 19:00,0.024496848993422443
20131101 20:00,0.05833402801595933
20131101 21:00,0.2602265506248839
20131101 22:00,0.4744146771490315
20131101 23:00,0.5021077221623013
20131102 0:00,0.3657741367125219
20131102 1:00,0.3302346847001473
20131102 2:00,0.4478327994247593
20131102 3:00,0.391211913638395
20131102 4:00,0.7409139366768435
20131102 5:00,0.7280106143086402
20131102 6:00,0.738631306223224
20131102 7:00,0.6297196853026786
20131102 8:00,0.7979280159203864
20131102 9:00,0.7753859633966667
20131102 10:00,0.6569648179463916
20131102 11:00,0.5817586046323414
20131102 12:00,0.55259261698047
20131102 13:00,0.37998308634322076
20131102 14:00,0.4193138685725113
20131102 15:00,0.22244355451079795
20131102 16:00,0.45365566051657324
20131102 17:00,0.43709108920215245
20131102 18:00,0.5645398186380776
20131102 19:00,0.44800507346466556
20131102 20:00,0.4360115173817545
20131102 21:00,0.47187363573140917
20131102 22:00,0.2133026528254236
20131102 23:00,0.26216854060456835
20131103 0:00,0.2583658532901426
20131103 1:00,0.36147900354606677
20131103 2:00,0.25787809762152086
20131103 3:00,0.2217028886146154
20131103 4:00,0.29681291266984533
20131103 5:00,0.32105522507438333
20131103 6:00,0.3247184698713522
20131103 7:00,0.47587900610480893
20131103 8:00,0.5086369065876758
20131103 9:00,0.3146851070975133
20131103 10:00,0.2843544646970047
20131103 11:00,0.6009154730962686
20131103 12:00,0.8046983839441159
20131103 13:00,0.8785608601494937
20131103 14:00,0.9129984321380215
20131103 15:00,0.9677040398794724
20131103 16:00,0.9668340561888299
20131103 17:00,0.9501407059012531
20131103 18:00,0.9374268849386037
20131103 19:00,0.9599689373664672
20131103 20:00,0.8900773768031925
20131103 21:00,0.9082781246523807
20131103 22:00,0.9327496458670833
20131103 23:00,0.9630526419522806
20131104 0:00,0.9434478611187965
20131104 1:00,0.9329563746382855
20131104 2:00,0.8561824679828568
20131104 3:00,0.6202790703313974
20131104 4:00,0.3377063379347368
20131104 5:00,0.29709470074577005
20131104 6:00,0.32120892763533515
20131104 7:00,0.36626940055170853
20131104 8:00,0.33688659075294203
20131104 9:00,0.38682285111329817
20131104 10:00,0.4739495373179696
20131104 11:00,0.7741025221636194
20131104 12:00,0.9564890026038969
20131104 13:00,0.9382624138020937
20131104 14:00,0.9768429612954367
20131104 15:00,0.9756630943395957
20131104 16:00,0.9619673157117551
20131104 17:00,0.9690391633053203
20131104 18:00,0.9773742102700255
20131104 19:00,0.9720461358105029
20131104 20:00,0.954568147595738
20131104 21:00,0.941380573119203
20131104 22:00,0.8481200449473997
20131104 23:00,0.7990305695265597
20131105 0:00,0.8435203292130079
20131105 1:00,0.5804665496206136
20131105 2:00,0.4656287033185097
20131105 3:00,0.19500624984796688
20131105 4:00,0.11225022792103084
20131105 5:00,0.04299271706860952
20131105 6:00,0.024496848993422443
20131105 7:00,0.024496848993422443
20131105 8:00,0.024496848993422443
20131105 9:00,0.07524782332367497
20131105 10:00,0.2298140840001408
20131105 11:00,0.3020814955790472
